title,url,price_raw,body_type,assembly,exterior_color,registered_city,features,enrich_status,price,brand,price_log,feature_count,body_type_encoded,assembly_encoded,exterior_color_encoded,registered_city_encoded,brand_clean
"Honda N One  2014 Premium for Sale
6.6/10",https://www.pakwheels.com/used-cars/honda-n-one-2014-for-sale-in-lahore-11286542,PKR 25 lacs,Other,Other,Other,Other,,Done,2500000.0,Honda,14.731801689838349,0,0,0,0,0,Honda
"Toyota Tank  2019  for Sale
7.1/10",https://www.pakwheels.com/used-cars/toyota-tank-2019-for-sale-in-rawalpindi-11359393,PKR 36 lacs,Other,Other,Other,Other,,Pending,3600000.0,Toyota,15.096444681204078,0,0,0,0,0,Toyota
KIA Sportage L  2025 HEV for Sale,https://www.pakwheels.com/used-cars/kia-sportage-l-2025-for-sale-in-lahore-11362723,PKR 1.16 crore,Other,Other,Other,Other,,Pending,11600000.0,KIA,16.266515742283485,0,0,0,0,0,KIA
Toyota Hilux  2017 Revo G 3.0 for Sale,https://www.pakwheels.com/used-cars/toyota-hilux-2017-for-sale-in-karachi-11362722,PKR 78.5 lacs,Other,Other,Other,Other,,Pending,7850000.0,Toyota,15.876024217147117,0,0,0,0,0,Toyota
Toyota Yaris Hatchback  2021 X for Sale,https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-islamabad-10490333,PKR 46.95 lacs,Other,Other,Other,Other,,Pending,4695000.0,Toyota,15.362008883617023,0,0,0,0,0,Toyota
"Toyota Yaris Hatchback  2019 X for Sale
8.1/10",https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2019-for-sale-in-lahore-11362693,PKR 42 lacs,Other,Other,Other,Other,,Pending,4200000.0,Toyota,15.250595321348806,0,0,0,0,0,Toyota
Toyota Raize  2020 Z for Sale,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-islamabad-11222981,PKR 57.95 lacs,Other,Other,Other,Other,,Pending,5795000.0,Toyota,15.572506207318527,0,0,0,0,0,Toyota
Toyota Raize  2021 Z for Sale,https://www.pakwheels.com/used-cars/toyota-raize-2021-for-sale-in-islamabad-11241172,PKR 65.5 lacs,Other,Other,Other,Other,,Pending,6550000.0,Toyota,15.694975760283178,0,0,0,0,0,Toyota
Toyota Corolla  2014 Altis Automatic 1.6 for Sale,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-islamabad-11362423,PKR 35.6 lacs,Other,Other,Other,Other,,Pending,3560000.0,Toyota,15.08527138372705,0,0,0,0,0,Toyota
Toyota Raize  2021 Z for Sale,https://www.pakwheels.com/used-cars/toyota-raize-2021-for-sale-in-islamabad-10850560,PKR 66.5 lacs,Other,Other,Other,Other,,Pending,6650000.0,Toyota,15.710127563007966,0,0,0,0,0,Toyota
Toyota Raize  2020 Z for Sale,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-islamabad-10924443,PKR 63.95 lacs,Other,Other,Other,Other,,Pending,6395000.0,Toyota,15.671027149367234,0,0,0,0,0,Toyota
"Toyota Land Cruiser  2018 ZX for Sale
9.9/10",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2018-for-sale-in-islamabad-11323220,PKR 4.35 crore,Other,Other,Other,Other,,Pending,43500000.0,Toyota,17.588271519047417,0,0,0,0,0,Toyota
